"module name","license","repository"
"@types/node@17.0.42","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/webidl-conversions@6.1.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/whatwg-url@8.2.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"accepts@1.3.8","MIT","https://github.com/jshttp/accepts"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"base64-js@1.5.1","MIT","https://github.com/beatgammit/base64-js"
"body-parser@1.20.0","MIT","https://github.com/expressjs/body-parser"
"bson@4.6.4","Apache-2.0","https://github.com/mongodb/js-bson"
"buffer@5.7.1","MIT","https://github.com/feross/buffer"
"bytes@3.1.2","MIT","https://github.com/visionmedia/bytes.js"
"call-bind@1.0.2","MIT","https://github.com/ljharb/call-bind"
"content-disposition@0.5.4","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.4","MIT","https://github.com/jshttp/content-type"
"cookie-signature@1.0.6","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.5.0","MIT","https://github.com/jshttp/cookie"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"debug@4.3.4","MIT","https://github.com/debug-js/debug"
"denque@2.0.1","Apache-2.0","https://github.com/invertase/denque"
"depd@2.0.0","MIT","https://github.com/dougwilson/nodejs-depd"
"destroy@1.2.0","MIT","https://github.com/stream-utils/destroy"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first"
"encodeurl@1.0.2","MIT","https://github.com/pillarjs/encodeurl"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html"
"etag@1.8.1","MIT","https://github.com/jshttp/etag"
"express@4.18.1","MIT","https://github.com/expressjs/express"
"finalhandler@1.2.0","MIT","https://github.com/pillarjs/finalhandler"
"forwarded@0.2.0","MIT","https://github.com/jshttp/forwarded"
"fresh@0.5.2","MIT","https://github.com/jshttp/fresh"
"function-bind@1.1.1","MIT","https://github.com/Raynos/function-bind"
"get-intrinsic@1.1.2","MIT","https://github.com/ljharb/get-intrinsic"
"has-symbols@1.0.3","MIT","https://github.com/inspect-js/has-symbols"
"has@1.0.3","MIT","https://github.com/tarruda/has"
"http-errors@2.0.0","MIT","https://github.com/jshttp/http-errors"
"iconv-lite@0.4.24","MIT","https://github.com/ashtuchkin/iconv-lite"
"ieee754@1.2.1","BSD-3-Clause","https://github.com/feross/ieee754"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"ip@1.1.8","MIT","https://github.com/indutny/node-ip"
"ipaddr.js@1.9.1","MIT","https://github.com/whitequark/ipaddr.js"
"kareem@2.3.5","Apache-2.0","https://github.com/vkarpov15/kareem"
"media-typer@0.3.0","MIT","https://github.com/jshttp/media-typer"
